match_id,date_time,competition_id,partition,odds_type,line,group_id,side,p_raw,quantile_tail_distance,odds,bettable,home_corners,away_corners,won,calibration_key,p_pre_cal,p_model,ev_raw,ev,inv_odds,p_market,p_tail,ev_tail,tail_weight,threshold_ev,threshold_raw,threshold_tail,pnl,cum_pnl,cum_ev,full_kelly_fraction,stake_fraction,bankroll_before,stake_size,strategy_pnl,bankroll_after
12450740,2024-08-09 19:00:00,346,A,HC,-0.5,12450740|HC|-0.5,home,0.6705799086312514,0.0,1.8,True,1.0,9.0,0.0,HC|home,0.6562500022106321,0.6562493459612863,0.2070438355362525,0.18124882273031528,0.5555555555555556,0.5287958115183247,0.6562492474610754,0.1812486454299358,7.728323208056054e-07,0.023,0.023,0.023,-1.0,-1.0,0.1812486454299358,0.1,0.05,100.0,5.0,-5.0,95.0
12450741,2024-08-09 19:00:00,346,A,HC,0.5,12450741|HC|0.5,home,0.5623315916379796,0.0,2.02,True,3.0,6.0,0.0,HC|home,0.5520144423468641,0.5520138903329739,0.1359098151087188,0.11506805847260715,0.49504950495049505,0.4712041884816754,0.5520138552074045,0.11506798751895708,4.346702009438985e-07,0.023,0.023,0.023,-1.0,-2.0,0.2963166329488929,0.1,0.05,100.0,5.0,-5.0,90.0
12450740,2024-08-09 19:00:00,346,A,OU,10.5,12450740|OU|10.5,under,0.6233893786160183,0.0,1.91,True,1.0,9.0,1.0,OU|under,0.5777673263207628,0.5777673263207628,0.19067371315659498,0.10353559327265693,0.5235602094240838,0.4973684210526315,0.5777673263207628,0.10353559327265693,0.0,0.03,0.03,0.03,0.9099999999999999,-1.09,0.3998522262215498,0.1,0.05,100.0,5.0,4.55,94.55
12450741,2024-08-09 19:00:00,346,A,OU,10.5,12450741|OU|10.5,under,0.648709860772633,0.0,1.95,True,3.0,6.0,1.0,OU|under,0.7192688691422802,0.7192688691422802,0.2649842285066344,0.4025742948274462,0.5128205128205129,0.48684210526315796,0.7192688691422802,0.4025742948274462,0.0,0.03,0.03,0.03,0.95,-0.14000000000000012,0.802426521048996,0.1,0.05,100.0,5.0,4.75,99.3
12449959,2024-08-10 11:30:00,346,A,OU,10.0,12449959|OU|10.0,over,0.4060543556058905,0.0,10.0,True,4.0,4.0,0.0,OU|over,0.4379443781733189,0.4379443781733189,3.0605435560589047,3.3794437817331886,0.1,0.5,0.4379443781733189,3.3794437817331886,0.0,0.03,0.03,0.03,-1.0,-1.1400000000000001,4.181870302782185,0.1,0.05,99.3,4.965,-4.965,94.335
12449959,2024-08-10 11:30:00,346,A,OU,10.0,12449959|OU|10.0,under,0.5939456443941096,0.0,10.0,True,4.0,4.0,1.0,OU|under,0.5620556218266812,0.5620556218266812,4.939456443941095,4.620556218266812,0.1,0.5,0.5620556218266812,4.620556218266812,0.0,0.03,0.03,0.03,9.0,7.859999999999999,8.802426521048996,0.1,0.05,99.3,4.965,44.685,139.01999999999998
12458265,2024-08-15 19:30:00,795,A,OU,9.5,12458265|OU|9.5,over,0.5653697429581728,0.0,1.99,True,4.0,4.0,0.0,OU|over,0.5229579253196808,0.5229579253196808,0.12508578848676377,0.04068627138616465,0.5025125628140703,0.47631578947368425,0.5229579253196808,0.04068627138616465,0.0,0.03,0.03,0.03,-1.0,6.859999999999999,8.84311279243516,0.04109724382440874,0.02054862191220437,139.01999999999998,2.856669418234651,-2.856669418234651,136.16333058176534
12432593,2024-08-16 18:45:00,412,A,HC,2.5,12432593|HC|2.5,away,0.8295717237165522,0.0,1.86,True,2.0,8.0,1.0,HC|away,0.8358799165148784,0.8358790806357977,0.5430034061127871,0.5547350899825838,0.5376344086021505,0.5130890052356021,0.8358782151635632,0.5547334802042276,2.68122318647368e-06,0.023,0.023,0.023,0.8600000000000001,7.72,9.397846272639388,0.1,0.05,136.16333058176534,6.808166529088267,5.855023215015911,142.01835379678124
12449919,2024-08-16 19:00:00,346,A,OU,10.5,12449919|OU|10.5,under,0.5075194048557343,0.0,2.0,True,13.0,1.0,0.0,OU|under,0.5159370308243465,0.5159370308243465,0.015038809711468648,0.031874061648693,0.5,0.47368421052631576,0.5159370308243465,0.031874061648693,0.0,0.03,0.03,0.03,-1.0,6.72,9.429720334288081,0.031874061648693,0.0159370308243465,142.01835379678124,2.2633508820822494,-2.2633508820822494,139.755002914699
12412037,2024-08-16 19:30:00,795,A,HC,-0.5,12412037|HC|-0.5,home,0.6435165293365852,0.0,1.85,True,6.0,3.0,1.0,HC|home,0.639482109215176,0.6394814697337062,0.19050557927268263,0.18304071900735663,0.5405405405405405,0.5157068062827225,0.6394813729433645,0.1830405399452244,7.819883247606185e-07,0.023,0.023,0.023,0.8500000000000001,7.57,9.612760874233306,0.1,0.05,139.755002914699,6.98775014573495,5.939587623874708,145.6945905385737
12405876,2024-08-17 14:00:00,364,A,OU,10.5,12405876|OU|10.5,under,0.5095476868736855,0.0,2.04,True,2.0,6.0,1.0,OU|under,0.5170193584753343,0.5170193584753343,0.039477281222318306,0.05471949128968201,0.49019607843137253,0.4631578947368421,0.5170193584753343,0.05471949128968201,0.0,0.03,0.03,0.03,1.04,8.61,9.667480365522987,0.052614895470848085,0.026307447735424042,145.6945905385737,3.8328528259275334,3.986166938964635,149.68075747753832
12405877,2024-08-17 14:00:00,364,A,OU,10.5,12405877|OU|10.5,under,0.5154458470564285,0.0,2.04,True,3.0,12.0,0.0,OU|under,0.5201667225002773,0.5201667225002773,0.0515095279951141,0.06114011390056562,0.49019607843137253,0.4631578947368421,0.5201667225002773,0.06114011390056562,0.0,0.03,0.03,0.03,-1.0,7.609999999999999,9.728620479423553,0.05878857105823617,0.029394285529118085,145.6945905385737,4.282588394338782,-4.282588394338782,145.39816908319955
12432609,2024-08-17 15:00:00,412,A,OU,9.5,12432609|OU|9.5,over,0.5826106473730087,0.0,1.97,True,5.0,0.0,0.0,OU|over,0.5321579810373094,0.5321579810373094,0.14774297532482716,0.04835122264349945,0.5076142131979695,0.48157894736842105,0.5321579810373094,0.04835122264349945,0.0,0.03,0.03,0.03,-1.0,6.609999999999999,9.776971702067051,0.049846621281958194,0.024923310640979097,145.39816908319955,3.6238037346901852,-3.6238037346901852,141.77436534850935
12432609,2024-08-17 15:00:00,412,A,HC,-0.5,12432609|HC|-0.5,home,0.5772963046374985,0.0,1.87,True,5.0,0.0,1.0,HC|home,0.5612862595708535,0.5612856982851553,0.07954408967212223,0.04960425579324035,0.53475935828877,0.5104712041884817,0.5612856931949958,0.049604246274642216,1.0017140839035932e-07,0.023,0.023,0.023,0.8700000000000001,7.4799999999999995,9.826575948341693,0.05701637502832438,0.02850818751416219,145.39816908319955,4.145038268439712,3.6061832935425495,145.3805486420519
12504777,2024-08-17 16:30:00,524,A,OU,9.5,12504777|OU|9.5,over,0.6036800350436948,0.0,1.93,True,1.0,4.0,0.0,OU|over,0.5434009840632892,0.5434009840632892,0.1651024676343309,0.04876389924214819,0.5181347150259068,0.4921052631578948,0.5434009840632892,0.04876389924214819,0.0,0.03,0.03,0.03,-1.0,6.4799999999999995,9.875339847583842,0.0524343002603744,0.0262171501301872,145.3805486420519,3.8114636697576576,-3.8114636697576576,141.56908497229423
12412593,2024-08-17 17:00:00,795,A,OU,8.5,12412593|OU|8.5,over,0.6774517495790716,0.0,1.85,True,6.0,4.0,1.0,OU|over,0.5946914352076156,0.5946914352076156,0.25328573672128263,0.10017915513408893,0.5405405405405405,0.513157894736842,0.5946914352076156,0.10017915513408893,0.0,0.03,0.03,0.03,0.8500000000000001,8.15,10.66075207116055,0.1,0.05,141.56908497229423,7.078454248614712,6.016686111322506,147.58577108361675
12412593,2024-08-17 17:00:00,795,A,HC,-1.5,12412593|HC|-1.5,home,0.6775923691058681,0.0,1.88,True,6.0,4.0,1.0,HC|home,0.6605947732605805,0.6605941126664678,0.27387365391903185,0.24191693181295948,0.5319148936170213,0.5078534031413613,0.6605939472747845,0.24191662087659482,1.0828264702666957e-06,0.023,0.023,0.023,0.8799999999999999,7.3,10.56057291602646,0.1,0.05,141.56908497229423,7.078454248614712,6.229039738780946,153.81481082239767
12432602,2024-08-17 17:00:00,412,A,HC,0.5,12432602|HC|0.5,away,0.6265063216441888,0.0,1.94,True,0.0,8.0,1.0,HC|away,0.6417841728485267,0.6417835310649957,0.2154222639897263,0.2450600502660918,0.5154639175257733,0.4921465968586388,0.641783366630948,0.24505973126403924,1.098886772576968e-06,0.023,0.023,0.023,0.94,7.42,10.12039957884788,0.1,0.05,141.56908497229423,7.078454248614712,6.653746993697829,160.4685578160955
12432602,2024-08-17 17:00:00,412,A,OU,9.5,12432602|OU|9.5,over,0.6477985924395757,0.0,2.07,True,0.0,8.0,0.0,OU|over,0.5788679788898483,0.5788679788898483,0.34094308634992165,0.19825671630198594,0.48309178743961356,0.4552631578947368,0.5788679788898483,0.19825671630198594,0.0,0.03,0.03,0.03,-1.0,6.42,10.318656295149866,0.1,0.05,141.56908497229423,7.078454248614712,-7.078454248614712,153.3901035674808
12405858,2024-08-18 13:00:00,364,A,HC,-0.5,12405858|HC|-0.5,home,0.6749804041970413,0.0,1.92,True,4.0,7.0,0.0,HC|home,0.6589764554732034,0.6589757964974068,0.2959623760583192,0.265233529275021,0.5208333333333334,0.4973821989528796,0.6589756022672975,0.2652331563532111,1.2019666141283025e-06,0.023,0.023,0.023,-1.0,7.15,10.925985227513761,0.1,0.05,153.3901035674808,7.66950517837404,-7.66950517837404,145.72059838910675
12432606,2024-08-18 13:00:00,412,A,HC,0.5,12432606|HC|0.5,away,0.6457303027922606,0.0,1.86,True,3.0,5.0,1.0,HC|away,0.6536949418374188,0.6536942881431307,0.20105836319360493,0.2158713759462232,0.5376344086021505,0.5130890052356021,0.6536941546043558,0.21587112756410187,9.497422296389502e-07,0.023,0.023,0.023,0.8600000000000001,8.01,11.141856355077863,0.1,0.05,153.3901035674808,7.66950517837404,6.595774453401675,152.31637284250843
12432608,2024-08-18 15:00:00,412,A,HC,1.5,12432608|HC|1.5,away,0.6417738168552015,0.0,1.81,True,7.0,3.0,0.0,HC|away,0.651243587477407,0.6512429362344708,0.16161060850791475,0.17874971458439215,0.5524861878453039,0.5260539408222048,0.6512428410829856,0.1787495423602039,7.600626953374601e-07,0.023,0.023,0.023,-1.0,7.01,11.320605897438067,0.1,0.05,152.31637284250843,7.615818642125422,-7.615818642125422,144.700554200383
12432599,2024-08-18 15:00:00,412,A,OU,9.5,12432599|OU|9.5,over,0.6568659486948765,0.0,1.93,True,10.0,5.0,1.0,OU|over,0.5837064827614069,0.5837064827614069,0.26775128098111156,0.12655351172951534,0.5181347150259068,0.4921052631578948,0.5837064827614069,0.12655351172951534,0.0,0.03,0.03,0.03,0.9299999999999999,7.9399999999999995,11.447159409167583,0.1,0.05,152.31637284250843,7.615818642125422,7.082711337176642,151.78326553755966
12432608,2024-08-18 15:00:00,412,A,OU,9.5,12432608|OU|9.5,over,0.5607330003869616,0.0,2.05,True,7.0,3.0,1.0,OU|over,0.5204836763489171,0.5204836763489171,0.1495026507932713,0.06699153651528,0.48780487804878053,0.46052631578947373,0.5204836763489171,0.06699153651528,0.0,0.03,0.03,0.03,1.0499999999999998,8.989999999999998,11.514150945682863,0.06380146334788572,0.03190073167394286,152.31637284250843,4.859003739597099,5.101953926576953,156.8852194641366
12405863,2024-08-18 15:30:00,364,A,HC,1.5,12405863|HC|1.5,away,0.7549081619058879,0.0,1.75,True,4.0,3.0,1.0,HC|away,0.7896199649593243,0.789619175340149,0.32108928333530384,0.3818335568452609,0.5714285714285714,0.5418848167539266,0.7896187299746678,0.38183277745566846,1.79775419084649e-06,0.023,0.023,0.023,0.75,9.739999999999998,11.895983723138531,0.1,0.05,156.8852194641366,7.844260973206831,5.883195729905124,162.76841519404172
12412008,2024-08-18 17:00:00,795,A,HC,-2.5,12412008|HC|-2.5,home,0.8903449849727352,0.0,1.84,True,10.0,5.0,1.0,HC|home,0.9174285008409855,0.9174275834134019,0.6382347723498327,0.6880667534806595,0.5434782608695652,0.518324607329843,0.9174262414285066,0.6880642842284521,3.3625028521555578e-06,0.023,0.023,0.023,0.8400000000000001,10.579999999999998,12.584048007366984,0.1,0.05,162.76841519404172,8.138420759702086,6.836273438149753,169.60468863219148
12504786,2024-08-18 18:45:00,524,A,HC,-3.5,12504786|HC|-3.5,home,0.9540924882673183,0.0,1.92,True,6.0,3.0,1.0,HC|home,0.9569250951994632,0.9569241382753251,0.8318575774732511,0.8372943454886241,0.5208333333333334,0.4973821989528796,0.9569222426626283,0.8372907059122463,4.1250047809748835e-06,0.023,0.023,0.023,0.9199999999999999,10.37,13.798376615061894,0.1,0.05,169.60468863219148,8.480234431609574,7.801815677080808,177.4065043092723
12432591,2024-08-18 18:45:00,412,A,HC,-0.5,12432591|HC|-0.5,home,0.6487910187819754,0.0,1.87,True,7.0,7.0,1.0,HC|home,0.6427500704576731,0.6427494277082453,0.21323920512229422,0.20194142981441865,0.53475935828877,0.5104712041884817,0.6427493114932582,0.20194121249239294,8.785647703790644e-07,0.023,0.023,0.023,0.8700000000000001,11.45,12.785989219859378,0.1,0.05,169.60468863219148,8.480234431609574,7.3778039555003305,184.78430826477262
12504786,2024-08-18 18:45:00,524,A,OU,9.5,12504786|OU|9.5,over,0.6558913775541596,0.0,1.93,True,6.0,3.0,0.0,OU|over,0.5831864341270863,0.5831864341270863,0.2658703586795279,0.12554981786527653,0.5181347150259068,0.4921052631578948,0.5831864341270863,0.12554981786527653,0.0,0.03,0.03,0.03,-1.0,10.45,12.911539037724655,0.1,0.05,169.60468863219148,8.480234431609574,-8.480234431609574,176.30407383316305
12504779,2024-08-18 18:45:00,524,A,OU,9.5,12504779|OU|9.5,over,0.5939880458067526,0.0,1.95,True,5.0,3.0,0.0,OU|over,0.5382291648333306,0.5382291648333306,0.15827668932316752,0.0495468714249947,0.5128205128205129,0.48684210526315796,0.5382291648333306,0.0495468714249947,0.0,0.03,0.03,0.03,-1.0,9.45,12.961085909149649,0.05215460149999442,0.02607730074999721,169.60468863219148,4.42283247407129,-4.42283247407129,171.88124135909175
12504785,2024-08-19 16:30:00,524,A,OU,9.5,12504785|OU|9.5,over,0.6725681080968946,0.0,1.99,True,5.0,3.0,0.0,OU|over,0.5920854365511711,0.5920854365511711,0.33841053511282015,0.17825001873683033,0.5025125628140703,0.47631578947368425,0.5920854365511711,0.17825001873683033,0.0,0.03,0.03,0.03,-1.0,9.37,13.976626633798725,0.1,0.05,171.88124135909175,8.594062067954587,-8.594062067954587,163.28717929113716
12435876,2024-08-19 17:00:00,795,A,OU,9.5,12435876|OU|9.5,over,0.5862729878899922,0.0,2.02,True,3.0,2.0,0.0,OU|over,0.5341122716013347,0.5341122716013347,0.18427143553778413,0.07890678863469613,0.49504950495049505,0.4684210526315789,0.5341122716013347,0.07890678863469613,0.0,0.03,0.03,0.03,-1.0,8.37,14.05553342243342,0.07735959670068249,0.038679798350341243,163.28717929113716,6.315915168177202,-6.315915168177202,156.97126412295995
12412194,2024-08-23 17:00:00,795,A,HC,-1.5,12412194|HC|-1.5,home,0.7530920851809515,0.0,1.95,True,4.0,7.0,0.0,HC|home,0.7073727881769891,0.7073720808049083,0.46852956610285545,0.3793755575695712,0.5128205128205129,0.4895287958115184,0.7073716919122455,0.37937479922887873,1.7851946312319456e-06,0.023,0.023,0.023,-1.0,7.369999999999999,14.4349082216623,0.1,0.05,156.97126412295995,7.848563206147998,-7.848563206147998,149.12270091681197
12500760,2024-08-23 18:30:00,426,A,HC,2.5,12500760|HC|2.5,away,0.8932428305989618,0.0,1.8,True,2.0,4.0,1.0,HC|away,0.9338555332087743,0.933854599354175,0.6078370950781313,0.6809382788375151,0.5555555555555556,0.5287958115183247,0.9338532520967396,0.6809358537741315,3.3260787715150286e-06,0.023,0.023,0.023,0.8,8.17,15.115844075436431,0.1,0.05,149.12270091681197,7.456135045840599,5.96490803667248,155.08760895348445
12405865,2024-08-24 11:30:00,364,A,HC,-1.5,12405865|HC|-1.5,home,0.8379607993425412,0.0,1.9,True,4.0,4.0,1.0,HC|home,0.8520513007078941,0.8520504486574455,0.5921255187508283,0.6188958524491464,0.5263157894736842,0.5026178010471204,0.8520493971925871,0.6188938546659155,3.0090630211976332e-06,0.023,0.023,0.023,0.8999999999999999,9.07,15.734737930102346,0.1,0.05,155.08760895348445,7.754380447674222,6.9789424029067995,162.06655135639124
12504770,2024-08-24 13:30:00,426,A,OU,9.5,12504770|OU|9.5,over,0.6463368570735195,0.0,1.85,True,8.0,9.0,1.0,OU|over,0.5780879706902452,0.5780879706902452,0.1957231855860111,0.06946274577695366,0.5405405405405405,0.513157894736842,0.5780879706902452,0.06946274577695366,0.0,0.03,0.03,0.03,0.8500000000000001,9.92,15.8042006758793,0.08172087738465136,0.04086043869232568,162.06655135639124,6.622110385774476,5.6287938279083045,167.69534518429955
12504765,2024-08-24 13:30:00,426,A,OU,10.5,12504765|OU|10.5,over,0.6169754647840954,0.0,2.0,True,9.0,3.0,1.0,OU|over,0.5504956637540045,0.5504956637540045,0.23395092956819075,0.10099132750800899,0.5,0.47368421052631576,0.5504956637540045,0.10099132750800899,0.0,0.03,0.03,0.03,1.0,10.92,15.90519200338731,0.1,0.05,162.06655135639124,8.103327567819562,8.103327567819562,175.7986727521191
12405855,2024-08-24 14:00:00,364,A,HC,-1.5,12405855|HC|-1.5,home,0.76061733439833,0.0,1.92,True,3.0,3.0,1.0,HC|home,0.7120352722026263,0.7120345601680662,0.46038528204479356,0.367106355522687,0.5208333333333334,0.4973821989528796,0.7120341904287123,0.36710564562312764,1.7225030826129029e-06,0.023,0.023,0.023,0.9199999999999999,11.84,16.272297649010437,0.1,0.05,175.7986727521191,8.789933637605955,8.086738946597478,183.88541169871658
12405868,2024-08-24 14:00:00,364,A,HC,-6.5,12405868|HC|-6.5,home,0.9938317331130689,0.0,1.86,True,10.0,1.0,1.0,HC|home,0.9961782733042559,0.9961772771269787,0.8485270235903084,0.8528897354561804,0.5376344086021505,0.5130890052356021,0.9961752458896574,0.8528859573547629,4.20469185324901e-06,0.023,0.023,0.023,0.8600000000000001,12.7,17.125183606365198,0.1,0.05,175.7986727521191,8.789933637605955,7.559342928341122,191.4447546270577
12405861,2024-08-24 14:00:00,364,A,HC,-3.5,12405861|HC|-3.5,home,0.9280448845260046,0.0,1.83,True,12.0,5.0,1.0,HC|home,0.9407865550871252,0.940785614301511,0.6983221386825886,0.7216376741717652,0.5464480874316939,0.5209424083769634,0.9407841305593232,0.7216349589235616,3.5340388193638717e-06,0.023,0.023,0.023,0.8300000000000001,13.53,17.84681856528876,0.1,0.05,175.7986727521191,8.789933637605955,7.295644919212943,198.74039954627065
12425724,2024-08-24 15:00:00,412,A,OU,9.5,12425724|OU|9.5,over,0.6607576585062405,0.0,1.87,True,0.0,6.0,0.0,OU|over,0.5857831688934048,0.5857831688934048,0.23561682140666984,0.0954145258306669,0.53475935828877,0.5078947368421052,0.5857831688934048,0.0954145258306669,0.0,0.03,0.03,0.03,-1.0,12.53,17.942233091119427,0.1,0.05,198.74039954627065,9.937019977313533,-9.937019977313533,188.80337956895713
12405859,2024-08-24 16:30:00,364,A,OU,9.5,12405859|OU|9.5,over,0.6909106777537204,0.0,1.78,True,4.0,1.0,0.0,OU|over,0.6018733605943012,0.6018733605943012,0.2298210064016224,0.07133458185785613,0.5617977528089888,0.531578947368421,0.6018733605943012,0.07133458185785613,0.0,0.03,0.03,0.03,-1.0,11.53,18.01356767297728,0.09145459212545658,0.04572729606272829,188.80337956895713,8.633468035193367,-8.633468035193367,180.16991153376375
12509898,2024-08-24 16:30:00,524,A,OU,9.5,12509898|OU|9.5,over,0.6328126102790121,0.0,1.93,True,4.0,13.0,1.0,OU|over,0.5708711901168688,0.5708711901168688,0.22132833783849337,0.10178139692555677,0.5181347150259068,0.4921052631578948,0.5708711901168688,0.10178139692555677,0.0,0.03,0.03,0.03,0.9299999999999999,12.459999999999999,18.115349069902837,0.1,0.05,188.80337956895713,9.440168978447856,8.779357149956505,188.94926868372028
12504764,2024-08-24 16:30:00,426,A,HC,-1.5,12504764|HC|-1.5,home,0.847358593124391,0.0,1.86,True,7.0,7.0,1.0,HC|home,0.890795048642507,0.8907941578483493,0.5760869832113673,0.6568771335979298,0.5376344086021505,0.5130890052356021,0.8907929480079462,0.6568748832947799,3.2031344943117546e-06,0.023,0.023,0.023,0.8600000000000001,13.319999999999999,18.772223953197617,0.1,0.05,188.80337956895713,9.440168978447856,8.118545321465158,197.06781400518543
12509897,2024-08-24 16:30:00,524,A,HC,1.5,12509897|HC|1.5,away,0.7676676547766138,0.0,1.81,True,4.0,9.0,1.0,HC|away,0.7975254747924878,0.7975246772678106,0.3894784551456709,0.44351966585473734,0.5524861878453039,0.5260539408222048,0.7975241036638098,0.44351862763149574,2.1129496623473187e-06,0.023,0.023,0.023,0.81,14.129999999999999,19.21574258082911,0.1,0.05,188.80337956895713,9.440168978447856,7.646536872542764,204.71435087772818
12405859,2024-08-24 16:30:00,364,A,HC,1.5,12405859|HC|1.5,away,0.7597568357188806,0.0,1.8,True,4.0,1.0,0.0,HC|away,0.7926240999116122,0.792623307288305,0.3675623042939853,0.426721953118949,0.5555555555555556,0.5287958115183247,0.7926227724785875,0.4267209904614575,2.0271189549170288e-06,0.023,0.023,0.023,-1.0,13.129999999999999,19.64246357129057,0.1,0.05,188.80337956895713,9.440168978447856,-9.440168978447856,195.27418189928034
12509901,2024-08-24 18:45:00,524,A,HC,-0.5,12509901|HC|-0.5,home,0.6173660628182327,0.0,1.85,True,8.0,3.0,1.0,HC|home,0.6232798375185512,0.6232792142393369,0.1421272162137306,0.15306654634277317,0.5405405405405405,0.5157068062827225,0.6232791465945694,0.1530664211999535,6.288300943291247e-07,0.023,0.023,0.023,0.8500000000000001,13.979999999999999,19.795529992490522,0.1,0.05,195.27418189928034,9.763709094964018,8.299152730719415,203.57333462999975
12425723,2024-08-24 19:00:00,412,A,OU,9.5,12425723|OU|9.5,under,0.5654914632423615,0.0,1.9,True,2.0,4.0,1.0,OU|under,0.5468719605930911,0.5468719605930911,0.07443378016048685,0.03905672512687297,0.5263157894736842,0.5,0.5468719605930911,0.03905672512687297,0.0,0.03,0.03,0.03,0.8999999999999999,14.879999999999999,19.834586717617395,0.043396361252081087,0.021698180626040543,203.57333462999975,4.417170985447129,3.9754538869024154,207.54878851690216
