tail_scale,bets,mean_ev,roi,gap
0.1,892,0.27503131944415804,0.07153251121076233,0.20349880823339572
0.15,891,0.26337422064837074,0.07273512906846238,0.19063909157990835
0.2,891,0.25342098992740913,0.07273512906846238,0.18068586085894675
0.25,887,0.2459353661107671,0.07567869222096955,0.17025667388979754
0.3,883,0.23972837509994432,0.08055152887882218,0.15917684622112216
0.35,873,0.23592327049505948,0.08953837342497133,0.14638489707008817
0.4,866,0.23230736801479523,0.08990415704387991,0.14240321097091532
0.5,835,0.23090952284281585,0.10617604790419159,0.12473347493862426
0.6,789,0.23567798881950744,0.11912167300380228,0.11655631581570516
0.7,691,0.25909645209939175,0.12964978292329957,0.12944666917609218
0.8,526,0.32547995155432846,0.20704942965779466,0.1184305218965338
1.0,470,0.3594292739955572,0.2443787234042553,0.1150505505913019
